"id_individu","age","genre","niveau_etudes","langue_domicile","region","departement","milieu","commune","arrondismt","statut_emploi_principal","activite_principale","activite_secondaire","privation_revenus","activite_principale_isic_section","activite_principale_isic_libelle","activite_secondaire_isic_section","activite_secondaire_isic_libelle","radio","television","vehicule","ordinateur","telephone","internet","score_actifs","source_eau","assainissement","electricite_acces","electricite_freq","round_afrobarometer","annee_enquete","pays"
168672364,21,"Homme","Secondaire incomplet",2,"Ziguinchor",43,"Rural",91,126,"Chômeur (cherche un emploi)",0,NA,2,NA,"Non applicable (sans emploi)",NA,NA,1,1,0,0,1,1,4,"Robinet dans la cour/concession",2,"Oui",5,9,2022,"SEN"
168673044,45,"Homme","Primaire incomplet",NA,"Ziguinchor",43,"Rural",91,126,"Employé à temps partiel",5,NA,0,"C","C - Industrie manufacturière",NA,NA,1,1,1,0,1,0,4,"Robinet dans la maison",1,"Oui",3,9,2022,"SEN"
168675040,26,"Homme","Aucun enseignement formel",660,"Diourbel",NA,"Rural",15,38,"Chômeur (cherche un emploi)",2,NA,2,NA,"Non applicable (femme au foyer)",NA,NA,1,0,0,0,1,1,3,"Robinet dans la maison",3,"Oui",4,9,2022,"SEN"
168676758,55,"Homme","Enseignement informel/coranique",660,"Diourbel",NA,"Rural",15,38,"Employé à temps plein",NA,NA,2,NA,NA,NA,NA,0,1,0,0,1,1,3,"Robinet dans la maison",1,"Oui",4,9,2022,"SEN"
168678193,42,"Homme","Enseignement informel/coranique",660,"Diourbel",NA,"Rural",15,38,"Inactif (ne cherche pas)",NA,NA,2,NA,NA,NA,NA,1,1,1,1,1,0,5,"Robinet dans la maison",1,"Oui",4,9,2022,"SEN"
168678253,26,"Femme","Enseignement informel/coranique",661,"Diourbel",NA,"Rural",15,38,"Inactif (ne cherche pas)",2,NA,3,NA,"Non applicable (femme au foyer)",NA,NA,1,1,0,0,1,0,3,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168679588,55,"Homme","Aucun enseignement formel",661,"Saint-Louis",30,"Rural",56,87,"Inactif (ne cherche pas)",3,NA,3,"A","A - Agriculture, sylviculture et pêche",NA,NA,1,1,0,1,1,1,5,"Fontaine publique",3,"Oui",5,9,2022,"SEN"
168679589,35,"Femme","Enseignement informel/coranique",661,"Saint-Louis",30,"Rural",56,87,"Chômeur (cherche un emploi)",2,NA,2,NA,"Non applicable (femme au foyer)",NA,NA,0,0,0,0,1,0,1,"Fontaine publique",3,"Oui",5,9,2022,"SEN"
168681102,52,"Homme","Enseignement informel/coranique",661,"Saint-Louis",30,"Rural",56,87,"Employé à temps partiel",4,NA,3,"G","G - Commerce; réparation d'automobiles",NA,NA,1,0,0,0,1,1,3,"Robinet dans la maison",3,"Oui",5,9,2022,"SEN"
168681152,60,"Femme","Aucun enseignement formel",661,"Saint-Louis",30,"Rural",56,87,"Employé à temps partiel",5,NA,3,"C","C - Industrie manufacturière",NA,NA,1,0,0,0,1,1,3,"Robinet dans la maison",3,"Oui",4,9,2022,"SEN"
168681241,72,"Homme","Enseignement informel/coranique",661,"Saint-Louis",30,"Rural",56,87,"Inactif (ne cherche pas)",5,NA,2,"C","C - Industrie manufacturière",NA,NA,1,1,0,0,1,0,3,"Fontaine publique",3,"Oui",5,9,2022,"SEN"
168681242,25,"Femme","Enseignement informel/coranique",661,"Saint-Louis",30,"Rural",56,87,"Inactif (ne cherche pas)",2,NA,0,NA,"Non applicable (femme au foyer)",NA,NA,0,0,0,0,1,NA,NA,"Fontaine publique",3,"Non",NA,9,2022,"SEN"
168683599,50,"Femme","Enseignement informel/coranique",660,"Saint-Louis",30,"Rural",56,87,"Employé à temps partiel",2,NA,1,NA,"Non applicable (femme au foyer)",NA,NA,0,0,1,1,1,0,3,"Robinet dans la maison",3,"Non",NA,9,2022,"SEN"
168683600,54,"Homme","Enseignement informel/coranique",660,"Saint-Louis",30,"Rural",56,87,"Inactif (ne cherche pas)",6,NA,0,"O","O - Administration publique et défense",NA,NA,1,1,0,0,1,0,3,"Robinet dans la maison",3,"Oui",2,9,2022,"SEN"
168699175,24,"Homme","Secondaire complet",662,"Thiès",41,"Urbain",87,121,"Employé à temps plein",3,NA,0,"A","A - Agriculture, sylviculture et pêche",NA,NA,1,1,0,1,1,1,5,"Robinet dans la cour/concession",3,"Oui",2,9,2022,"SEN"
168699176,47,"Femme","Primaire complet",660,"Thiès",41,"Urbain",87,121,"Employé à temps partiel",NA,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,6,"Robinet dans la cour/concession",1,"Oui",2,9,2022,"SEN"
168699835,40,"Femme","Primaire complet",660,"Thiès",41,"Urbain",87,121,"Inactif (ne cherche pas)",5,NA,2,"C","C - Industrie manufacturière",NA,NA,1,1,1,0,1,1,5,"Robinet dans la maison",1,"Oui",4,9,2022,"SEN"
168699836,70,"Homme","Enseignement informel/coranique",660,"Thiès",41,"Urbain",87,121,"Inactif (ne cherche pas)",7777,6,3,NA,NA,"O","O - Administration publique et défense",1,1,0,0,1,0,3,"Robinet dans la cour/concession",1,"Non",NA,9,2022,"SEN"
168700590,40,"Femme","Aucun enseignement formel",661,"Thiès",41,"Urbain",87,121,"Inactif (ne cherche pas)",6,NA,3,"O","O - Administration publique et défense",NA,NA,1,1,0,0,1,0,3,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168700591,30,"Homme","Primaire incomplet",660,"Thiès",41,"Urbain",87,121,"Inactif (ne cherche pas)",NA,NA,2,NA,NA,NA,NA,1,1,0,0,1,1,4,"Robinet dans la cour/concession",1,"Oui",5,9,2022,"SEN"
168700598,18,"Femme","Aucun enseignement formel",660,"Thiès",41,"Urbain",87,121,"Chômeur (cherche un emploi)",6,NA,3,"O","O - Administration publique et défense",NA,NA,0,1,0,0,1,1,3,"Robinet dans la cour/concession",1,"Oui",4,9,2022,"SEN"
168700599,46,"Homme","Aucun enseignement formel",660,"Thiès",41,"Urbain",87,121,"Chômeur (cherche un emploi)",3,NA,4,"A","A - Agriculture, sylviculture et pêche",NA,NA,0,1,0,0,1,0,2,"Robinet dans la cour/concession",1,"Oui",4,9,2022,"SEN"
168701941,23,"Femme","Secondaire incomplet",665,"Ziguinchor",43,"Rural",91,126,"Inactif (ne cherche pas)",7777,1,4,NA,NA,NA,"Non applicable (étudiant)",1,1,0,0,1,0,3,"Source/rivière",3,"Oui",5,9,2022,"SEN"
168702088,27,"Homme","Secondaire incomplet",665,"Ziguinchor",43,"Rural",91,126,"Employé à temps partiel",NA,NA,1,NA,NA,NA,NA,0,0,0,1,1,1,3,"Source/rivière",3,"Oui",4,9,2022,"SEN"
168702197,50,"Homme","Enseignement informel/coranique",663,"Ziguinchor",43,"Rural",91,126,"Inactif (ne cherche pas)",4,NA,2,"G","G - Commerce; réparation d'automobiles",NA,NA,0,1,0,0,1,1,3,"Robinet dans la maison",3,"Non",NA,9,2022,"SEN"
168702846,56,"Femme","Primaire incomplet",660,"Kaolack",17,"Urbain",33,60,"Inactif (ne cherche pas)",2,NA,4,NA,"Non applicable (femme au foyer)",NA,NA,1,1,0,0,1,NA,NA,NA,1,"Oui",2,9,2022,"SEN"
168702847,21,"Homme",NA,660,"Kaolack",17,"Urbain",33,60,"Inactif (ne cherche pas)",1,NA,0,NA,"Non applicable (étudiant)",NA,NA,1,1,1,1,1,1,6,"Robinet dans la cour/concession",2,"Oui",2,9,2022,"SEN"
168703509,60,"Femme","Primaire incomplet",665,"Ziguinchor",43,"Rural",91,126,"Employé à temps partiel",6,NA,2,"O","O - Administration publique et défense",NA,NA,0,1,1,1,1,1,5,"Robinet dans la maison",1,"Oui",2,9,2022,"SEN"
168720468,61,"Homme","Primaire incomplet",660,"Saint-Louis",32,"Urbain",62,93,"Inactif (ne cherche pas)",7777,NA,3,NA,NA,NA,NA,1,1,1,1,1,1,6,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168720469,39,"Femme","Enseignement informel/coranique",660,"Saint-Louis",32,"Urbain",62,93,"Employé à temps partiel",4,NA,3,"G","G - Commerce; réparation d'automobiles",NA,NA,1,1,1,1,1,1,6,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168720664,30,"Femme","Aucun enseignement formel",660,"Diourbel",NA,"Rural",15,38,"Chômeur (cherche un emploi)",2,NA,2,NA,"Non applicable (femme au foyer)",NA,NA,1,1,1,1,1,NA,NA,"Robinet dans la maison",1,"Oui",4,9,2022,"SEN"
168720665,37,"Homme","Aucun enseignement formel",660,"Diourbel",NA,"Urbain",16,39,"Inactif (ne cherche pas)",5,NA,0,"C","C - Industrie manufacturière",NA,NA,1,1,1,1,1,0,5,"Robinet dans la maison",1,"Oui",4,9,2022,"SEN"
168720666,55,"Femme","Enseignement informel/coranique",660,"Diourbel",NA,"Urbain",16,39,"Inactif (ne cherche pas)",7777,5,3,NA,NA,"C","C - Industrie manufacturière",1,1,1,1,1,NA,NA,"Robinet dans la maison",1,"Oui",4,9,2022,"SEN"
168720742,66,"Femme","Enseignement informel/coranique",660,"Saint-Louis",32,"Urbain",62,93,"Inactif (ne cherche pas)",5,NA,2,"C","C - Industrie manufacturière",NA,NA,0,1,0,0,1,0,2,"Robinet dans la maison",1,"Oui",2,9,2022,"SEN"
168720743,44,"Homme","Primaire complet",660,"Saint-Louis",32,"Urbain",62,93,"Employé à temps partiel",NA,NA,0,NA,NA,NA,NA,0,1,1,1,1,1,5,"Robinet dans la maison",1,"Non",NA,9,2022,"SEN"
168721353,26,"Homme","Secondaire incomplet",660,"Kaolack",17,"Urbain",33,60,"Inactif (ne cherche pas)",7777,10,3,NA,NA,"T","T - Ménages en tant qu'employeurs",1,1,0,1,1,1,5,"Robinet dans la maison",1,"Oui",4,9,2022,"SEN"
168721354,19,"Femme","Secondaire incomplet",665,"Kaolack",17,"Urbain",33,60,"Inactif (ne cherche pas)",1,NA,3,NA,"Non applicable (étudiant)",NA,NA,1,1,0,0,1,0,3,"Robinet dans la maison",1,"Oui",3,9,2022,"SEN"
168721355,38,"Homme","Secondaire complet",663,"Kaolack",17,"Urbain",33,60,"Employé à temps plein",NA,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,6,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168721356,55,"Femme","Aucun enseignement formel",662,"Kaolack",17,"Urbain",33,60,"Inactif (ne cherche pas)",2,NA,3,NA,"Non applicable (femme au foyer)",NA,NA,0,1,0,0,1,1,3,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168721535,37,"Homme",NA,663,"Sédhiou",34,"Urbain",67,NA,"Employé à temps plein",11,NA,3,"G","G - Commerce; réparation d'automobiles",NA,NA,1,1,0,0,1,1,4,"Robinet dans la maison",1,"Oui",3,9,2022,"SEN"
168721766,24,"Femme","Primaire incomplet",660,"Kaolack",17,"Urbain",33,60,"Chômeur (cherche un emploi)",2,NA,2,NA,"Non applicable (femme au foyer)",NA,NA,1,1,0,0,1,1,4,"Robinet dans la maison",1,"Oui",2,9,2022,"SEN"
168721767,53,"Homme","Enseignement informel/coranique",660,"Kaolack",17,"Urbain",33,60,"Inactif (ne cherche pas)",7777,11,2,NA,NA,"G","G - Commerce; réparation d'automobiles",1,1,1,1,1,1,6,"Robinet dans la maison",1,"Oui",4,9,2022,"SEN"
168721768,58,"Femme","Primaire incomplet",660,"Kaolack",17,"Urbain",33,60,"Inactif (ne cherche pas)",2,NA,3,NA,"Non applicable (femme au foyer)",NA,NA,1,1,1,1,1,0,5,"Robinet dans la maison",1,"Oui",2,9,2022,"SEN"
168723115,26,"Homme","Enseignement informel/coranique",663,"Sédhiou",34,"Urbain",67,NA,"Chômeur (cherche un emploi)",6,NA,3,"O","O - Administration publique et défense",NA,NA,1,1,1,0,1,0,4,"Source/rivière",2,"Oui",5,9,2022,"SEN"
168723133,35,"Femme","Enseignement informel/coranique",660,"Kaolack",17,"Urbain",33,60,"Chômeur (cherche un emploi)",7777,11,3,NA,NA,"G","G - Commerce; réparation d'automobiles",1,1,1,1,1,1,6,"Robinet dans la maison",1,"Oui",2,9,2022,"SEN"
168723134,50,"Homme","Enseignement informel/coranique",660,"Kaolack",17,"Urbain",33,60,"Employé à temps plein",6,NA,2,"O","O - Administration publique et défense",NA,NA,1,1,1,0,1,1,5,"Robinet dans la maison",1,"Oui",2,9,2022,"SEN"
168723545,40,"Homme","Enseignement informel/coranique",660,"Diourbel",NA,"Rural",15,38,"Employé à temps plein",6,NA,2,"O","O - Administration publique et défense",NA,NA,1,1,1,1,1,0,5,"Puits protégé",3,"Non",NA,9,2022,"SEN"
168723546,64,"Homme","Enseignement informel/coranique",661,"Diourbel",NA,"Urbain",15,38,"Inactif (ne cherche pas)",5,NA,2,"C","C - Industrie manufacturière",NA,NA,1,1,1,0,1,1,5,"Puits protégé",1,"Oui",4,9,2022,"SEN"
168723547,22,"Femme","Enseignement informel/coranique",660,"Diourbel",NA,"Urbain",15,38,"Chômeur (cherche un emploi)",6,NA,2,"O","O - Administration publique et défense",NA,NA,1,1,0,0,1,1,4,"Puits protégé",1,"Oui",4,9,2022,"SEN"
168723735,42,"Homme","Primaire complet",663,"Sédhiou",34,"Urbain",67,NA,"Employé à temps plein",NA,NA,2,NA,NA,NA,NA,1,1,0,0,1,1,4,"Robinet dans la cour/concession",2,"Oui",4,9,2022,"SEN"
