"id_individu","rep_age","rep_genre","rep_niveau_etudes","rep_langue_domicile","region","departement","milieu","commune","arrondismt","source_eau","assainissement","electricite_acces","electricite_freq","manque_nourriture","manque_eau","manque_soins","manque_combustible","manque_revenus","prive_manque_nourriture","prive_manque_eau","prive_manque_soins","prive_manque_combustible","prive_manque_revenus","indice_privation","groupe_privation","round_afrobarometer","annee_enquete","pays","poids"
168097631,46,"Femme","Primaire incomplet",660,"Dakar",1,"Urbain",NA,30,"Robinet dans la maison",1,"Oui",2,0,0,0,0,2,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
168098280,21,"Homme","Secondaire incomplet",660,"Dakar",1,"Urbain",NA,30,"Robinet dans la maison",1,"Oui",4,0,1,0,0,2,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
168098281,39,"Femme","Primaire incomplet",660,"Dakar",1,"Urbain",NA,30,"Robinet dans la cour/concession",1,"Oui",4,0,3,2,0,2,0,1,1,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168098838,46,"Homme",NA,660,"Dakar",2,"Urbain",2,13,"Robinet dans la maison",1,"Oui",1,0,0,0,0,4,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
168098855,48,"Femme",NA,660,"Dakar",2,"Urbain",2,13,"Robinet dans la maison",1,"Oui",1,0,0,0,0,0,0,0,0,0,0,0,"Aucune privation",9,2022,"SEN",1
168098975,21,"Femme","Secondaire incomplet",660,"Dakar",1,"Urbain",NA,30,"Robinet dans la maison",2,"Oui",5,0,2,0,0,0,0,1,0,0,0,1,"Privation légère (1 type)",9,2022,"SEN",1
168099212,80,"Homme","Aucun enseignement formel",660,"Dakar",1,"Urbain",NA,30,"Robinet dans la maison",1,"Oui",5,0,3,3,2,1,0,1,1,1,0,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168099218,26,"Homme",NA,660,"Dakar",1,"Urbain",NA,30,"Robinet dans la maison",1,"Oui",5,2,2,2,1,2,1,1,1,0,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168099219,23,"Femme","Secondaire incomplet",660,"Dakar",1,"Urbain",NA,30,"Robinet dans la maison",1,"Oui",5,0,0,2,0,0,0,0,1,0,0,1,"Privation légère (1 type)",9,2022,"SEN",1
168099921,30,"Homme","Secondaire complet",660,"Dakar",2,"Urbain",2,13,"Robinet dans la cour/concession",2,"Oui",4,0,2,2,0,3,0,1,1,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168099946,20,"Femme","Secondaire incomplet",661,"Dakar",2,"Urbain",2,13,"Robinet dans la maison",1,"Oui",5,0,2,0,0,2,0,1,0,0,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
168100200,23,"Homme",NA,2,"Dakar",2,"Urbain",2,13,"Robinet dans la maison",1,"Oui",5,0,1,0,1,2,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
168100201,50,"Femme",NA,660,"Dakar",2,"Urbain",2,13,"Robinet dans la maison",1,"Oui",5,0,1,1,2,2,0,0,0,1,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
168100281,27,"Homme","Primaire incomplet",660,"Dakar",3,"Urbain",3,15,"Robinet dans la maison",1,"Oui",5,1,0,0,2,2,0,0,0,1,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
168101981,19,"Femme","Primaire complet",660,"Dakar",4,"Urbain",6,21,"Robinet dans la maison",1,"Oui",5,0,0,0,2,0,0,0,0,1,0,1,"Privation légère (1 type)",9,2022,"SEN",1
168102541,28,"Femme","Primaire incomplet",660,"Dakar",3,"Urbain",3,15,"Robinet dans la maison",1,"Oui",5,0,2,1,0,2,0,1,0,0,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
168103127,27,"Homme","Secondaire complet",660,"Dakar",4,"Urbain",6,21,"Robinet dans la maison",1,"Oui",5,2,0,3,3,4,1,0,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168103128,25,"Femme","Secondaire incomplet",660,"Dakar",4,"Urbain",6,21,"Robinet dans la maison",1,"Oui",5,2,2,2,3,3,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
168103270,52,"Homme","Primaire incomplet",660,"Dakar",2,"Urbain",2,13,"Robinet dans la maison",1,"Oui",5,0,3,2,2,2,0,1,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168106205,23,"Homme",NA,660,"Dakar",2,"Urbain",2,3,"Robinet dans la maison",1,"Oui",5,1,2,1,3,2,0,1,0,1,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168106670,70,"Homme","Post-secondaire incomplet",660,"Dakar",2,"Urbain",2,3,"Robinet dans la maison",1,"Oui",1,0,0,0,0,2,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
168106771,29,"Femme",NA,660,"Dakar",2,"Urbain",2,3,"Robinet dans la maison",1,"Oui",4,0,1,1,1,1,0,0,0,0,0,0,"Aucune privation",9,2022,"SEN",1
168108137,30,"Homme","Secondaire incomplet",660,"Dakar",2,"Urbain",2,3,"Robinet dans la maison",1,"Oui",5,2,2,2,2,2,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
168112931,54,"Femme","Enseignement informel/coranique",660,"Dakar",1,"Urbain",NA,31,"Robinet dans la maison",1,"Oui",4,0,0,0,0,2,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
168112932,47,"Homme","Primaire incomplet",660,"Dakar",1,"Urbain",NA,31,"Robinet dans la cour/concession",3,"Oui",2,0,3,2,0,2,0,1,1,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168112985,49,"Homme",NA,660,"Dakar",1,"Urbain",NA,31,"Robinet dans la maison",1,"Oui",5,0,2,2,2,0,0,1,1,1,0,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168112986,42,"Femme","Secondaire incomplet",660,"Dakar",1,"Urbain",NA,31,"Robinet dans la maison",1,"Oui",5,1,0,2,2,1,0,0,1,1,0,2,"Privation modérée (2 types)",9,2022,"SEN",1
168113024,60,"Femme","Secondaire complet",660,"Dakar",1,"Urbain",NA,31,"Robinet dans la maison",1,"Oui",4,0,0,0,0,2,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
168113025,25,"Homme","Post-secondaire incomplet",660,"Dakar",1,"Urbain",NA,31,"Robinet dans la maison",1,"Oui",5,0,0,1,0,2,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
168114026,52,"Homme","Primaire complet",660,"Dakar",1,"Urbain",NA,31,"Robinet dans la cour/concession",2,"Oui",5,1,2,0,3,4,0,1,0,1,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168114027,19,"Femme","Aucun enseignement formel",660,"Dakar",1,"Urbain",NA,31,"Robinet dans la maison",1,"Oui",4,0,3,0,0,3,0,1,0,0,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
168116230,66,"Homme","Primaire incomplet",660,"Dakar",2,"Urbain",2,11,"Robinet dans la maison",2,"Non",NA,2,2,2,1,1,1,1,1,0,0,3,"Privation sévère (3+ types)",9,2022,"SEN",1
